[2026-05-17 21:26:45] [INFO    ] discord.client: logging in using static token
[2026-05-17 21:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-05-17 21:26:45] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-05-17 21:26:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1505707080877867178', 'username': 'Yui', 'avatar': '53b82050acd01949998837a2b6aacdd4', 'discriminator': '7631', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2e437921b229c56b1b809e2731aa9bd7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-05-17 21:26:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-05-17 21:26:46] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-05-17 21:26:46] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1505707080877867178', 'name': 'Yui', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1505707080877867178', 'username': 'Yui', 'avatar': '53b82050acd01949998837a2b6aacdd4', 'discriminator': '7631', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '2e437921b229c56b1b809e2731aa9bd7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '6ffb5e905ec16e2f5258d74bf0aeb00d18506274ed4cfcb1b74070e4c6fa9855', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '310436477454647297', 'username': 'flightsto', 'avatar': '02d50f8c8324dbac74b27ac98fb0fd7a', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 5161947, 'global_name': 'mako', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1349849614286585866', 'asset': 'nameplates/nameplates/cityscape/', 'label': 'COLLECTIBLES_NAMEPLATES_CITYSCAPE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#4ec3db', 'clan': {'identity_guild_id': '1371466080299778138', 'identity_enabled': True, 'tag': '˚₊𓆝', 'badge': 'e9a1af07d5862164307f96686dc1a4b3'}, 'primary_guild': {'identity_guild_id': '1371466080299778138', 'identity_enabled': True, 'tag': '˚₊𓆝', 'badge': 'e9a1af07d5862164307f96686dc1a4b3'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-05-17 21:26:46] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-05-17 21:26:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-8cpt",{"micros":0.0}]']}}
[2026-05-17 21:26:46] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-05-17 21:26:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
